HSPA8	SRRT
NOP14	RPS15A
AIMP2	KARS1
BCLAF1	ZNF146
KLKB1	MMP1
KLKB1	MMP3
CNGA3	CNGB1
EP300	IFNAR1
EP300	IFNAR2
CNGA3	CNGB3
FBXL13	UBE2M
PPIE	UPF3B
FBXL13	UBE2A
CSNK1D	FAU
NOTCH3	RXRA
GIT1	PPFIA2
PSMD14	TNKS
CAMK2B	NEFL
ITGA10	PTK2B
MTREX	WBP11
PHKG1	PPP1R3A
PHKG1	PPP1R3B
COPS4	LMO7
PHKG1	PPP1R3C
PHKG1	PPP1R3D
PHKG1	PPP1R3E
GTF2A1	SNAPC1
PHKG1	PPP1R3F
GTF2A1	SNAPC2
FCER1A	GRB2
GTF2A1	SNAPC3
GTF2A1	SNAPC4
GTF2A1	SNAPC5
PIK3C2G	PLCG1
CRB3	PATJ
CWC27	WDR33
PIK3C2G	PLCE1
PRKACA	TCP11
COQ10B	NDUFB10
LYN	MCM7
NFATC2	RCAN1
CETN1	TSG101
FBXO21	GPS1
PSMD5	PSMD6
B9D2	SEC13
ODF2	SEPTIN2
PSMD5	PSMD7
HAUS6	TUBGCP5
POLE2	RPA4
PSMD5	PSMD8
HAUS6	TUBGCP6
PSMD5	PSMD9
COQ10B	NDUFB11
HLA-E	HLA-F
HLA-E	HLA-G
SCP2	TYSND1
HAUS6	TUBGCP2
HAUS6	TUBGCP3
HAUS6	TUBGCP4
GNA15	NTSR1
GNA15	NTSR2
PIK3C2G	PLCD1
PIK3C2G	PLCD3
PIK3C2G	PLCD4
PSMD5	PSME1
PSMD5	PSME2
NLRP3	RELA
PSMD5	PSME3
PSMD5	PSME4
POLE2	RPA1
CASC3	RNPS1
POLE2	RPA2
POLE2	RPA3
NAA35	NTRK1
IGHV3-23	V2-15
IGLV1-40	SRC
IGHV3-23	V2-17
SNRNP40	SNRNP70
H2BC15	HCC5
IGHV3-23	V2-19
PTK2	RHOU
GHR	OSM
PABPC1	SNRPA
PTK2	RHOA
CYP11B1	NR5A1
GFM2	PTCD3
ITGB1	VCAM1
IGHV3-23	V2-11
LDLR	LDLRAP1
PIK3C2G	PLCB1
PIK3C2G	PLCB2
PIK3C2G	PLCB3
PIK3C2G	PLCB4
BCL2A1	NOL3
STAT3	STX2
STAT3	STX4
FBXO21	RBBP6
