K7EKX1	P62333
E9PI65	P62333
E5RG31	Q99741
B4E3E1	J3QL20
P19338	P51991
A0A2R8Y5S3	B7ZA86
P40818	P62745
K7EKX1	P62191
K7EKX1	P62195
O14682	P62877
B4DS41	Q9H4N8
D6RGF4	J9R021
Q3B820	Q92993
B3KVF0	K7EIT8
A0A2R8Y619	Q71DI3
I3L4N8	Q56A76
Q15714	Q9HB58
Q53HV2	Q9H369
P14174	Q13418
Q13523	Q99459
P06493	Q86U13
H0YC37	H7BY98
F6WIT2	I3L4X0
E5RG31	Q99877
Q53FS6	Q75L23
E5RG31	Q99879
E5RG31	Q99880
B4DQ39	Q5T670
B7ZLB1	Q16623
C9JTT7	E9PEP3
D6RDJ3	Q4QRK8
A6NDI8	X5DNX0
A8K6S3	Q59FN1
B2RD93	P60709
P04439	Q9UJZ1
K7ELQ3	Q86TH3
P19338	P51114
P19338	P51116
J3KRE8	P35998
C9JXG8	P46060
G1UI19	Q8TBA7
A0A2R8Y5V8	B4E3T8
A8K6S3	Q59H46
P07900	Q2QD09
A8K6S3	Q59H50
A0A0C4MWS3	Q07812
A0A0C4MWS3	Q07817
A0A0C4DGE4	Q96AJ9
A0A0C4MWS3	Q07820
A0A0C4DGE4	Q96D47
B4DN54	Q16891
P33992	Q8N257
O94916	P50591
B7Z597	K0A7K7
B3KXZ2	Q8TBA7
C9JGR9	P56537
Q7Z2G1	Q99525
F5H5N6	G9K388
F5H5N6	G9K389
H0YC37	H7C2K9
P13010	P17987
H0YJZ6	Q96J94
Q02297	Q9Y468
O43524	P51610
B4DYT1	Q4G0Z9
B4DZ51	Q4G0Z9
A2IDB2	C9J337
G3V532	P59780
E9PI65	P62191
E9PI65	P62195
H0YM03	Q99460
B3KVF0	K7ENL1
P25054	Q59G99
B2R7X3	Q0VAS5
E9PI65	P62258
O00268	P05412
A2IDB2	O15530
O15054	Q8TAQ2
D6RFN0	J3QSA9
B4DHJ7	Q9HD36
D6RFN0	J3QSE0
H0YIL2	Q12931
B4DVR9	P60880
H0Y5Q7	H7C1W2
B4DSZ1	Q6LEU0
H0Y5Q7	H7C2E4
E9PN27	Q96D31
Q8WXW3	Q9UPN4
A2IDB2	C9JQS8
A2IDB2	C9JR84
A0A1V1FGH6	A0A2R8Y7X5
G9K389	P0DPK2
G9K389	P0DPK5
P06400	Q93009
H0Y5Q7	H7C3Z5
D6RFN0	J3QS13
D6RFN0	J3QRR3
A0A1V1FGH6	A0A2R8Y7C8
D6RFN0	J3QRW1
D6RFN0	J3QS84
D6RFN0	J3QS88
A0A494C047	Q9UM11
P35606	Q7Z6Z7
D6RFN0	J3QRY4
Q53F20	Q92769
B4DEN9	Q9Y2I8
D6RFN0	J3QQM1
B7Z6T7	Q59EM9
A0A1V1FGH6	A0A2R8Y6C9
H0Y5Q7	H7C4F6
Q13367	Q92572
A0A024R8R3	F2Z3G4
B3KWV6	Q5XG97
O00222	O15303
A0A1V1FGH6	A0A2R8Y5B2
P00519	Q71SY5
A0A1V1FGH6	A0A2R8Y5F1
P24941	P40337
B3KQV6	Q16537
B7Z6T7	Q59GS3
B4DKF6	P60880
A8K1D3	F8W7U8
C9J4U1	J3KQE5
O60664	Q8WTS1
C9J8X3	Q9UK20
P63104	Q6A1A2
C9J8X3	Q9UJU1
D6RFN0	J3QLT0
C9JEN4	F6V107
C9J8X3	Q9UJZ2
C9J8X3	Q9UJZ6
C9J8X3	Q9UJZ7
C9J8X3	Q9UJZ8
B4DJX9	P32856
C9J4U1	J3KTM9
O15169	Q9NYF0
A0A0J9YYK1	Q9Y2G4
P17980	Q5TDH0
D6RFN0	J3QKR0
H3BM50	Q53HV2
P51957	Q9Y6E0
P09486	P20908
D6RFN0	J3QL53
H0YJS6	Q6LEU0
P30279	Q9UHV2
P08581	P23470
D6RFN0	J3QLE8
P14866	Q9UQ80
D6RFN0	J3QLH6
Q96J94	Q96JY0
J3KQ69	Q9BRX5-3
E5RFF9	Q9UQ72-2
Q59GS3	Q6R327
C9J470	Q32Q15
B3GQS7	I3L2D5
P06493	Q86Y33
P06493	Q86XZ2
H0YNF5	O00505
Q00610	Q96CV9
Q13887	Q9BTC8
C9K0P5	Q5VWC4
