J3KQE5	Q6PKD4
P42226	Q14863
O96017	Q8NFZ0
Q13224	Q92529
P08238	Q86U12
P26378	Q8N6W0
Q86U03	X6R390
E7EQY4	E9PC52
B2RDG0	P49721
B2RDG0	P49720
B6A8C7	P01893
P17980	Q5VYK3
P08238	Q86SX1
O00548	O76050
E9PP63	Q6MZV5
P26599	Q96PU8
E9PM69	R4GNH3
A0A087X1E4	Q96Q33
Q86YN6	Q9BQG0
P61086	Q9H000
Q6IQ49	Q9NX01
P0CG48	Q5PSV4
Q96DE8	Q96N86
O43639	P61978
A0A0S2Z5Q9	B3KMX0
B1ALA7	I3L331
A8K192	I3L2N2
O14640	P34925
A8K192	I3L2W9
B1ALA7	I3L164
Q59GS3	Q75L23
P01730	P07333
P17980	Q5VWC4
Q14330	Q9Y2T6
B1ALA7	I3L0S1
A8K192	I3L0M7
Q96PN7	Q9H147
Q14330	Q9Y271
Q13518	Q6PJD6
P61201	Q92673
P01106	Q9P2K3
P0CG47	Q3KNW5
P06493	P30279
Q17RC7	Q9UPT5
Q53FG5	Q8N7F5
P42226	Q14511
Q9Y261	Q9Y692
P46108	Q9NZQ3
P61201	Q92793
Q04864	Q96FA3
P42226	Q14469
O94972	Q8N720
O15075	O95271
Q16623	Q9NZ43
P16234	Q15139
H0YDG7	Q7L7W2
A6NKE1	Q8IUR0
P58304	Q08999
C9J911	P33993
C9J911	P33992
C9J911	P33991
A0A0S2Z5Q9	B3KVF0
Q16623	Q9NRW7
O60341	Q9NZI6
A0A0S2Z5Q9	B3KUD7
A0A0S2Z5Q9	B3KV41
O95071	Q13490
B7ZA10	C9JEN4
B7ZA10	C9JEP0
H0Y8E6	Q59F49
Q05BS0	Q99613
P01730	P09382
P41743	P62258
E9PP63	Q6P1Q5
A0A1B0GVQ5	B7ZLB1
B3KVN2	Q59GT6
O60341	Q9NRC8
A0A140VK41	D3YTJ7
H0YKS0	Q6IB71
K7EJP1	Q0QEN7
O75874	P40926
B3KNW1	H7BZG6
Q16623	Q9NQG7
A0A0S2Z5Q9	B3KXZ4
P06493	P30876
H0YJS8	P62333
P42574	P61604
B7ZA10	C9JAQ4
O60341	Q9NQZ8
P42336	Q96D21
H0YJS8	P62191
H0YJS8	P62195
B4DYT1	J3KQ69
P27816	P49841
B7ZA10	C9JDK6
P61086	Q9GZS3
P21108	Q6ZTP6
B7ZA10	C9JDM8
P42574	P61289
O60341	Q9NP66
P61086	Q9H992
A8K6Y2	B2RCG9
P63220	Q13601
H3BN71	P59780
P06239	P16871
B3KNW1	H7C1E4
P08123	P21810
P55085	Q9HC97
Q3KNV8	Q8NHM5
P20138	Q92835
P56377	Q59FN8
B4DU71	G3V2J8
P62195	R4GNH3
Q02543	Q9Y6V7
Q9UNM6	Q9UNS2
B7ZA86	Q8TEW0
B7ZA86	Q8TEW8
B4DFP5	J3KRF5
P62136	P78396
A0A1B0GVQ5	B7ZBM8
Q5VTD9	Q8N2S1
P11308	P48431
A0A0A0MS15	P04430
P06748	Q9H6X2
A0A096LPJ3	H7C3T0
H0YMV3	P17980
E5RFG6	Q12788
A0A096LPJ3	H7C3P9
O75586	P10827
P12004	Q08211
O15014	P54253
O15014	P54259
P04156	Q9H4B4
P28360	Q07687
H0YKT8	V9HW24
H0YKT8	V9HW55
P06748	Q9H3C7
Q9H9B1	Q9HAZ2
B7Z780	C9JPS2
P09619	Q16832
